prospectno,FDD,MAXDPD24M,max_DPD_LFT,Total_Payments,TGT
720035,30APR2015,0,,>24 Payment,0
720037,30APR2015,0,,19-24 Payment,0
720038,17MAR2015,0,,>24 Payment,0
720042,31MAR2015,0,,>24 Payment,0
720051,24MAR2015,0,,>24 Payment,0
720053,28FEB2015,0,,>24 Payment,0
720054,31MAR2015,0,,>24 Payment,0
720059,31MAR2015,0,,>24 Payment,0
720062,30APR2015,0,,>24 Payment,0
720066,27FEB2015,0,,>24 Payment,0
720067,27FEB2015,0,,>24 Payment,0
720068,09MAR2015,26,26,>24 Payment,0
720072,26MAR2015,0,,>24 Payment,0
720080,31MAR2015,27,27,>24 Payment,0
720081,21MAR2015,0,,>24 Payment,0
720088,30APR2015,0,,>24 Payment,0
720096,31MAR2015,27,27,>24 Payment,0
720110,28FEB2015,0,27,>24 Payment,0
720115,28FEB2015,0,,>24 Payment,0
720127,20MAR2015,0,,>24 Payment,0
720135,31MAR2015,61,61,>24 Payment,1
720154,28FEB2015,0,,>24 Payment,0
720161,28FEB2015,208,757,>24 Payment,1
720164,28FEB2015,88,147,>24 Payment,1
720165,23FEB2015,0,0,>24 Payment,0
720166,19MAR2015,0,,>24 Payment,0
720171,28FEB2015,208,757,>24 Payment,1
720173,28FEB2015,0,,>24 Payment,0
720174,28FEB2015,62,62,>24 Payment,1
720186,07MAY2015,0,,>24 Payment,0
720187,30MAR2015,31,31,>24 Payment,0
720190,24APR2015,0,,>24 Payment,0
720193,27MAR2015,0,,>24 Payment,0
720205,31MAY2015,0,,>24 Payment,0
720208,28FEB2015,0,0,>24 Payment,0
720212,28FEB2015,27,27,>24 Payment,0
720215,28FEB2015,0,,>24 Payment,0
720231,31MAY2015,0,,>24 Payment,0
720233,28FEB2015,0,,>24 Payment,0
720240,30MAR2015,0,,>24 Payment,0
720248,28FEB2015,0,,>24 Payment,0
720259,24MAR2015,0,,>24 Payment,0
720260,30MAR2015,0,27,>24 Payment,0
720261,28FEB2015,0,,>24 Payment,0
720264,28FEB2015,0,,>24 Payment,0
720267,23APR2015,0,,>24 Payment,0
720268,28MAR2015,0,27,>24 Payment,0
720270,31MAR2015,0,,>24 Payment,0
720274,26MAR2015,0,,>24 Payment,0
720280,31MAR2015,0,,>24 Payment,0
720281,28MAR2015,0,,>24 Payment,0
720301,24MAR2015,0,,>24 Payment,0
720307,29MAY2015,0,,>24 Payment,0
720319,31MAR2015,0,,>24 Payment,0
720324,21MAR2015,0,,>24 Payment,0
720328,31JUL2015,0,58,>24 Payment,0
720337,14MAR2015,25,25,19-24 Payment,0
720357,31MAR2015,0,,>24 Payment,0
720359,26MAR2015,0,,>24 Payment,0
720363,18MAR2015,0,,>24 Payment,0
720376,28FEB2015,0,,>24 Payment,0
720377,31MAR2015,26,26,>24 Payment,0
720380,30SEP2015,27,27,>24 Payment,0
720385,26MAR2015,0,,>24 Payment,0
720388,30APR2015,0,,>24 Payment,0
720395,31MAR2015,0,,>24 Payment,0
720409,23APR2015,119,119,19-24 Payment,1
720419,28FEB2015,0,,>24 Payment,0
